Name,FIXNVIS Ref.,Qty
RONDELLE M 0 5 INOX A4,RONM05A4,85
TCHC M3X25/25 INOX A4 EF DIN 912,TCHC03/025A4EF,4
TCHC M5X10 INOX A2 EF DIN 912,TCHC05/010A2EF,20
TCHC M3X12 INOX A2 EF DIN 912,TCHC03/012A2EF,6
TCHC M5X14 INOX A4 EF DIN 912T,CHC05/014A4EF,10
TCHC M5X16 INOX A4 EF DIN 912,TCHC05/016A4EF,10
TCHC M4X20 INOX A4 EF DIN 912,TCHC04/020A4EF,5
TCHC M5X20 INOX A4 EF DIN 912,TCHC05/020A4EF,15
TCHC M5X25 INOX A4 EF DIN 912,TCHC05/025A4EF,2
ECROU NYLSTOP M3 INOX A2 DIN 985,ECRNYL03A2,8
ECROU NYLSTOP M5 INOX A2 DIN 985,ECRNYL05A,45